variable,type,meaning,unit,allowed_values,observed_range_or_values,missing_count,model_role,caveats
ID,integer identifier,Customer record identifier,identifier,Unique integer within the source file,0 to 11191,0,identifier only,Distinct IDs are retained. Identical measured profiles do not prove that records refer to the same person.
Year_Birth,integer,Birth year,calendar year,Plausible birth year for the historical data period,1893 to 1996,0,candidate predictor through derived age,"Eligibility requires 1920 to 1996 inclusive. This excludes observed 1893, 1899 and 1900; eligible observed years are 1940 to 1996. Age uses the historical reference year 2014, not today."
Education,categorical string,Education category,category,Basic; 2n Cycle; Graduation; Master; PhD,2n Cycle; Basic; Graduation; Master; PhD,0,candidate predictor and audit attribute,Categories are not equally spaced measurements. Socioeconomic proxy; interpretations of educational labels may vary by country.
Marital_Status,categorical string,Household relationship category,category,Single; Together; Married; Divorced; Widow; Alone; Absurd; YOLO in the raw file,Absurd; Alone; Divorced; Married; Single; Together; Widow; YOLO,0,candidate predictor and audit attribute,Alone is mapped to Single. All four records labelled Absurd or YOLO are retained as Unknown; underlying personal circumstances cannot be inferred.
Income,numeric with missing values,Annual household income,unspecified currency per year,Positive numeric value below 600000 or missing under the fixed eligibility rule,1730 to 666666,24,candidate predictor and audit attribute,"All 24 missing values are retained. Eligibility requires income strictly above 0 and below 600000 or missing. This excludes 666666, an extreme suspicious record rather than a source-confirmed placeholder; eligible observed income is 1730 to 162397. Imputation is fitted within the applicable training partition."
Kidhome,integer count,Children recorded at home,people,0; 1; 2 observed,0; 1; 2,0,candidate predictor through household features,Age boundary for this field is not supplied. Combined with Teenhome for the prespecified children-at-home fairness grouping.
Teenhome,integer count,Teenagers recorded at home,people,0; 1; 2 observed,0; 1; 2,0,candidate predictor through household features,Exact age boundaries are unavailable. Treat as a recorded household count rather than a complete dependency measure.
Dt_Customer,date stored as text,Company enrolment date,"day-month-year, DD-MM-YYYY",Valid date in the source format,2012-07-30 to 2014-06-29,0,candidate predictor through historical tenure,Not a campaign timestamp. Historical tenure is computed with a fixed documented reference; enrolment does not reveal when spending or campaign outcomes were measured.
Recency,integer count,Time since the latest purchase,days,Nonnegative integer,0 to 99,0,candidate predictor,The source does not supply a dated measurement cutoff; availability before the response campaign is unverified.
MntWines,integer amount,Wine spending,unspecified currency over the previous two years,Nonnegative amount,0 to 1493,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
MntFruits,integer amount,Fruit spending,unspecified currency over the previous two years,Nonnegative amount,0 to 199,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
MntMeatProducts,integer amount,Meat spending,unspecified currency over the previous two years,Nonnegative amount,0 to 1725,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
MntFishProducts,integer amount,Fish spending,unspecified currency over the previous two years,Nonnegative amount,0 to 259,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
MntSweetProducts,integer amount,Sweet-product spending,unspecified currency over the previous two years,Nonnegative amount,0 to 263,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
MntGoldProds,integer amount,Gold-product spending,unspecified currency over the previous two years,Nonnegative amount,0 to 362,0,candidate predictor,The two-year window is undated and may overlap the response campaign. Currency is unknown; use for exploratory modelling with a prediction-time availability limitation.
NumDealsPurchases,integer count,Purchases recorded with a discount,purchases,Nonnegative integer,0 to 15,0,candidate predictor,Counting window is unspecified. Discount purchases may overlap channel counts; do not add them to channel totals as separate purchases.
NumWebPurchases,integer count,Website purchases,purchases,Nonnegative integer,0 to 27,0,candidate predictor,Counting window is unspecified. Comparability with two-year spending is not established; spend divided by purchases is an approximate intensity measure.
NumCatalogPurchases,integer count,Catalogue purchases,purchases,Nonnegative integer,0 to 28,0,candidate predictor,"Counting window and cross-channel reconciliation are not documented. Extreme counts are observed values, not automatic errors."
NumStorePurchases,integer count,Store purchases,purchases,Nonnegative integer,0 to 13,0,candidate predictor,Counting window is unspecified. Channel counts need not cover every transaction represented in spending totals.
NumWebVisitsMonth,integer count,Website visits in the previous month,visits per month,Nonnegative integer,0 to 20,0,candidate predictor,Reference month is not dated; visits must precede the prediction cutoff for prospective use.
AcceptedCmp3,binary integer,Acceptance of campaign 3,indicator,0 = did not accept; 1 = accepted,0; 1,0,candidate predictor; campaign-history sensitivity analysis,"Campaign numbering suggests history, but exact chronology relative to the latest campaign is not timestamp-verified. Verify availability before deployment and assess a model without campaign-history inputs."
AcceptedCmp4,binary integer,Acceptance of campaign 4,indicator,0 = did not accept; 1 = accepted,0; 1,0,candidate predictor; campaign-history sensitivity analysis,"Campaign numbering suggests history, but exact chronology relative to the latest campaign is not timestamp-verified. Verify availability before deployment and assess a model without campaign-history inputs."
AcceptedCmp5,binary integer,Acceptance of campaign 5,indicator,0 = did not accept; 1 = accepted,0; 1,0,candidate predictor; campaign-history sensitivity analysis,"Campaign numbering suggests history, but exact chronology relative to the latest campaign is not timestamp-verified. Verify availability before deployment and assess a model without campaign-history inputs."
AcceptedCmp1,binary integer,Acceptance of campaign 1,indicator,0 = did not accept; 1 = accepted,0; 1,0,candidate predictor; campaign-history sensitivity analysis,"Campaign numbering suggests history, but exact chronology relative to the latest campaign is not timestamp-verified. Verify availability before deployment and assess a model without campaign-history inputs."
AcceptedCmp2,binary integer,Acceptance of campaign 2,indicator,0 = did not accept; 1 = accepted,0; 1,0,candidate predictor; campaign-history sensitivity analysis,"Campaign numbering suggests history, but exact chronology relative to the latest campaign is not timestamp-verified. Verify availability before deployment and assess a model without campaign-history inputs."
Complain,binary integer,Recorded complaint in the previous two years,indicator,0 = no; 1 = yes,0; 1,0,candidate predictor,The two-year window is not dated; ensure complaints were known at scoring time. Rare positive values.
Z_CostContact,constant integer,Constant field labelled contact cost,economic unit not verified,3 in every supplied row,3,0,excluded constant; illustrative scenario input only,"The linked data card does not document this field. A contact cost of 3 is an illustrative assumption, not validated accounting information."
Z_Revenue,constant integer,Constant field labelled revenue,economic unit not verified,11 in every supplied row,11,0,excluded constant; illustrative scenario input only,"The linked data card does not document this field. A response value of 11 is an illustrative assumption; it is not confirmed revenue, contribution margin or incremental net profit."
Response,binary integer,Acceptance of the latest campaign offer,indicator,0 = did not accept; 1 = accepted,0; 1,0,supervised target; never an input feature or profile-group key,"334 positive and 1906 negative records. Campaign date, exposure details and a no-contact control are absent; observed response does not identify causal campaign uplift."
